lp,ilosc_osob,dorosli,potencjalne_dzieci,odpowiedz,ilosc_gosci,ilosc_osob_hotel,ilosc_pokoi,ilosc_dob,sniadanie_1_dzien,koperta_pln,koperta_usd,koperta_eur,koperta_gbp,zal_przybycia,przybycie,kobiety,mezczyzni,dzieci,typ_gosci
1,2,2,,Potwierdzenie,2,2,1,2,2,5000,,,,tak,tak,1,1,,rodzina_jacka
2,2,2,,Odmowa,0,-,-,-,,3000,,,,nie,nie,0,0,,rodzina_jacka
3,1,1,,Odmowa,0,-,-,-,,1000,,,,może,nie,0,0,,rodzina_jacka
4,2,2,,Odmowa,0,-,-,-,,,,,,nie,nie,0,0,,rodzina_jacka
5,2,2,,Potwierdzenie,2,2,1,1,1,1000,,,,tak,tak,1,1,,rodzina_jacka
6,4,2,2,Potwierdzenie,2,2,1,1,1,700,,,,tak,tak,1,1,2,rodzina_jacka
7,2,2,,Odmowa,0,-,-,-,,,,,,tak,nie,0,0,,rodzina_jacka
8,2,2,,Potwierdzenie,2,2,1,1,1,800,,,,tak,tak,1,1,,rodzina_jacka
9,2,2,,Potwierdzenie,2,2,1,1,1,700,,,,tak,tak,1,1,,rodzina_jacka
10,2,2,,Potwierdzenie,2,0,0,0,,,,600,,może,tak,1,1,,rodzina_jacka
11,2,2,,Odmowa,0,0,0,0,,1000,,,,może,nie,0,0,,rodzina_jacka
12,2,2,,Odmowa,0,-,-,-,,,,,,może,nie,0,0,,rodzina_jacka
13,4,2,2,Odmowa,0,-,-,-,,,,,,może,nie,0,0,,rodzina_jacka
14,4,2,2,,,-,-,-,,,,,,może,nie,0,0,,rodzina_jacka
15,2,2,,,,-,-,-,,,,,,może,nie,0,0,,rodzina_jacka
16,2,2,,Odmowa,0,-,-,-,,,,,,nie,nie,0,0,,rodzina_jacka
17,2,2,,Odmowa,0,-,-,-,,,,,,może,nie,0,0,,rodzina_jacka
18,2,2,,Potwierdzenie,2,2,1,1,1,3000,,,,tak,tak,1,1,,rodzina_jacka
19,3,2,1,Potwierdzenie,3,0,0,0,0,1000,,,,tak,tak,1,1,1,rodzina_jacka
20,3,2,1,Potwierdzenie,2,0,0,0,0,2000,,,,tak,tak,1,1,,rodzina_jacka
21,2,2,,Kościół,1,0,0,0,0,3000,,,,tak,tak,1,0,,rodzina_jacka
22,2,2,,Potwierdzenie,1,1,1,2,2,1500,,,,tak,tak,1,0,,rodzina_jacka
23,2,2,,Potwierdzenie,2,2,1,2,2,2000,,,,tak,tak,1,1,,rodzina_jacka
24,2,2,,,,-,-,-,-,,,,,nie,nie,0,0,,znajomi_rodzicow_jacka
25,2,2,,Odmowa,0,0,0,0,0,,500,,,tak,nie,0,0,,rodzina_jacka
26,2,2,2,Odmowa,0,-,-,-,-,,,,,może,nie,0,0,,rodzina_jacka
27,2,2,,Potwierdzenie,2,0,0,0,0,1000,,,,może,tak,1,1,,rodzina_jacka
28,2,2,,Odmowa,0,-,-,-,-,,,,,może,nie,0,0,,rodzina_jacka
29,2,2,,Potwierdzenie,2,0,0,0,0,700,,,,tak,tak,1,1,,znajomi_jacka
30,2,2,,Potwierdzenie,2,0,0,0,0,800,,,,tak,tak,1,1,,znajomi_jacka
31,2,2,,Potwierdzenie,2,0,0,0,0,600,,,,tak,tak,1,1,,znajomi_jacka
32,2,2,,Potwierdzenie,2,0,0,0,0,800,,,,tak,tak,1,1,,znajomi_jacka
33,2,2,,Potwierdzenie,2,0,0,0,0,800,,,,tak,tak,1,1,,znajomi_jacka
34,2,2,,Potwierdzenie,2,0,0,0,0,800,,,,tak,tak,1,1,,znajomi_jacka
35,2,2,,Potwierdzenie ,2,0,0,0,0,800,,,,tak,tak,1,1,,znajomi_jacka
36,2,2,,Potwierdzenie,1,1,1,1,1,,,,,tak,tak,0,0,,znajomi_jacka
37,2,2,,Potwierdzenie,2,2,1,2,2,,,,,tak,tak,1,1,,rodzina_natalii
38,2,2,,Potwierdzenie,2,0,0,0,0,1500,,,,tak,tak,1,1,,rodzina_natalii
39,6,6,,Potwierdzenie,3,3,2,2,2,2500,,,,tak,tak,0,3,,rodzina_natalii
40,2,2,,Odmowa,0,-,-,-,-,,,,,może,nie,0,0,,rodzina_natalii
41,4,3,1,Potwierdzenie,3,0,0,0,0,1600,,,,może,tak,2,1,,rodzina_natalii
42,2,2,,Potwierdzenie,2,2,1,1,1,1300,,,,może,tak,1,1,,rodzina_natalii
43,4,2,2,Odmowa,0,-,-,-,-,,,,,nie,nie,0,0,,rodzina_natalii
44,2,2,,Odmowa,0,-,-,-,-,,,,,tak,nie,0,0,,rodzina_natalii
45,4,2,2,Odmowa,0,-,-,-,-,1000,,,,tak,nie,0,0,,rodzina_natalii
46,2,2,,Odmowa,0,-,-,-,-,,,,,może,nie,0,0,,rodzina_natalii
47,5,2,3,Odmowa,0,-,-,-,-,,,,,może,nie,0,0,,rodzina_natalii
48,2,2,,Odmowa,0,-,-,-,-,,,,,tak,nie,0,0,,rodzina_natalii
49,4,2,2,Potwierdzenie,2,2,1,1,1,5000,,,,tak,tak,1,1,,rodzina_natalii
50,4,2,2,Odmowa,0,0,0,0,0,,,,,nie,nie,0,0,,rodzina_natalii
51,1,1,,Potwierdzenie,1,1,1,2,2,600,,,,tak,tak,1,0,,rodzina_natalii
52,2,2,,Odmowa,0,-,-,-,-,,,,,nie,nie,0,0,,rodzina_natalii
53,2,2,,Potwierdzenie,1,1,1,1,1,500,,,,tak,tak,1,0,,rodzina_natalii
54,2,2,,Odmowa,0,,,,,,,,,może,nie,0,0,,rodzina_natalii
55,2,2,,Potwierdzenie,2,2,1,1,1,800,,,,tak,tak,1,1,,rodzina_natalii
56,4,2,2,Potwierdzenie ,2,2,1,1,1,400,,,,tak,tak,1,0,,rodzina_natalii
57,4,2,2,Odmowa,0,,,,,,,,,może,nie,0,0,,rodzina_natalii
58,2,2,,Potwierdzenie ,2,2,1,1,1,2700,,,,tak,tak,1,1,,rodzina_natalii
59,4,2,2,Potwierdzenie ,2,2,1,2,2,1800,,,,może,tak,1,1,,rodzina_natalii
60,4,2,2,Odmowa,0,-,-,-,-,,,,,nie,nie,0,0,,rodzina_natalii
61,6,2,4,Potwierdzenie,2,2,1,3,2,400,,,200,nie,tak,1,1,,rodzina_natalii
62,3,1,2,Potwierdzenie,1,,,,,500,,,,tak,tak,0,1,,rodzina_natalii
63,2,2,,Potwierdzenie,2,2,1,1,1,1200,,,,tak,tak,1,1,,rodzina_natalii
64,4,4,,Odmowa,0,-,-,-,-,,,,,tak,nie,0,0,,rodzina_natalii
65,2,2,,Odmowa,0,-,-,-,-,,,,,tak,nie,0,0,,rodzina_natalii
66,2,2,,Odmowa,0,-,-,-,-,,,,,tak,nie,0,0,,rodzina_natalii
67,2,1,,Potwierdzenie ,1,0,0,0,0,500,,,,tak,tak,1,0,,rodzina_natalii
68,2,2,,Odmowa,0,-,-,-,-,,,,,może,nie,0,0,,rodzina_natalii
69,1,1,,Odmowa,0,-,-,-,-,,,,,nie,nie,0,0,,rodzina_natalii
70,1,1,,Odmowa,0,-,-,-,-,,,,,nie,nie,0,0,,rodzina_natalii
71,2,2,,,,-,-,-,-,,,,,może,nie,0,0,,rodzina_natalii
72,2,2,,,,-,-,-,-,,,,,może,nie,0,0,,rodzina_natalii
73,1,1,,,,-,-,-,-,,,,,może,nie,0,0,,rodzina_natalii
74,1,1,,Odmowa,0,-,-,-,-,,,,,może,nie,0,0,,rodzina_natalii
75,2,2,,Potwierdzenie,2,0,0,0,0,1000,,,,tak,tak,1,1,,rodzina_natalii
